member,field_path,dtype,shape,size,missing_or_nonfinite,numeric_min,numeric_max,candidate_role
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Temperature(℃),float64,267922,267922,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Date_Time,datetime64[ns],267922,267922,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Cycle_Index,int64,267922,267922,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Data_Point,int64,325705,325705,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Test_Time(s),object,325705,325705,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Current(A),float64,325705,325705,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Capacity(Ah),float64,325705,325705,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Voltage(V),float64,325705,325705,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Energy(Wh),float64,325705,325705,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Temperature(℃),float64,325705,325705,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Date_Time,datetime64[ns],325705,325705,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,记录表.Cycle_Index,int64,325705,325705,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Data_Point,int64,217169,217169,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Test_Time(s),object,217169,217169,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Current(A),float64,217169,217169,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Capacity(Ah),float64,217169,217169,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Voltage(V),float64,217169,217169,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Energy(Wh),float64,217169,217169,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Temperature(℃),float64,217169,217169,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Date_Time,datetime64[ns],217169,217169,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,记录表.Cycle_Index,int64,217169,217169,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Data_Point,int64,323227,323227,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Test_Time(s),object,323227,323227,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Current(A),float64,323227,323227,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Capacity(Ah),float64,323227,323227,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Voltage(V),float64,323227,323227,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Energy(Wh),float64,323227,323227,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Temperature(℃),float64,323227,323227,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Date_Time,datetime64[ns],323227,323227,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,记录表.Cycle_Index,int64,323227,323227,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Data_Point,int64,262758,262758,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Test_Time(s),object,262758,262758,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Current(A),float64,262758,262758,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Capacity(Ah),float64,262758,262758,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Voltage(V),float64,262758,262758,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Energy(Wh),float64,262758,262758,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Temperature(℃),float64,262758,262758,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Date_Time,datetime64[ns],262758,262758,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,记录表.Cycle_Index,int64,262758,262758,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Data_Point,int64,320552,320552,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Test_Time(s),object,320552,320552,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Current(A),float64,320552,320552,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Capacity(Ah),float64,320552,320552,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Voltage(V),float64,320552,320552,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Energy(Wh),float64,320552,320552,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Temperature(℃),float64,320552,320552,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Date_Time,datetime64[ns],320552,320552,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,记录表.Cycle_Index,int64,320552,320552,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Data_Point,int64,213457,213457,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Test_Time(s),object,213457,213457,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Current(A),float64,213457,213457,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Capacity(Ah),float64,213457,213457,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Voltage(V),float64,213457,213457,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Energy(Wh),float64,213457,213457,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Temperature(℃),float64,213457,213457,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Date_Time,datetime64[ns],213457,213457,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,记录表.Cycle_Index,int64,213457,213457,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Data_Point,int64,319932,319932,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Test_Time(s),object,319932,319932,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Current(A),float64,319932,319932,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Capacity(Ah),float64,319932,319932,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Voltage(V),float64,319932,319932,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Energy(Wh),float64,319932,319932,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Temperature(℃),float64,319932,319932,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Date_Time,datetime64[ns],319932,319932,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,记录表.Cycle_Index,int64,319932,319932,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Data_Point,int64,283956,283956,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Test_Time(s),object,283956,283956,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Current(A),float64,283956,283956,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Capacity(Ah),float64,283956,283956,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Voltage(V),float64,283956,283956,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Energy(Wh),float64,283956,283956,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Temperature(℃),float64,283956,283956,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Date_Time,datetime64[ns],283956,283956,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,记录表.Cycle_Index,int64,283956,283956,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Data_Point,int64,322270,322270,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Test_Time(s),object,322270,322270,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Current(A),float64,322270,322270,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Capacity(Ah),float64,322270,322270,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Voltage(V),float64,322270,322270,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Energy(Wh),float64,322270,322270,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Temperature(℃),float64,322270,322270,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Date_Time,datetime64[ns],322270,322270,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,记录表.Cycle_Index,int64,322270,322270,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Data_Point,int64,234779,234779,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Test_Time(s),object,234779,234779,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Current(A),float64,234779,234779,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Capacity(Ah),float64,234779,234779,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Voltage(V),float64,234779,234779,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Energy(Wh),float64,234779,234779,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Temperature(℃),float64,234779,234779,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Date_Time,datetime64[ns],234779,234779,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,记录表.Cycle_Index,int64,234779,234779,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_first20cycle210112_001_7.xlsx,记录表.Data_Point,int64,320485,320485,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_first20cycle210112_001_7.xlsx,记录表.Test_Time(s),object,320485,320485,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_first20cycle210112_001_7.xlsx,记录表.Current(A),float64,320485,320485,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_first20cycle210112_001_7.xlsx,记录表.Capacity(Ah),float64,320485,320485,0,,,capacity_candidate
